geoid,geography,short_name,county,poverty_rate_total,poverty_rate_deep,poverty_rate_notdeep,child_poverty_rate_total,child_poverty_rate_deep,child_poverty_rate_notdeep
5002161225,county subdivision,Rutland , Rutland County,14.1,5.2,9,25.9,10.3,15.6
5002557700,county subdivision,Putney , Windham County,14,6.6,7.3,19.3,16.7,2.6
5001570525,county subdivision,Stowe , Lamoille County,13.9,10.8,3.1,27.5,22.7,4.9
5001933775,county subdivision,Holland , Orleans County,13.7,8.6,5.1,10.2,10.2,
5000129575,county subdivision,Granville , Addison County,13.6,8,5.7,18.1,12.5,5.6
5002712250,county subdivision,Cavendish , Windsor County,13.6,7.5,6.1,10.1,5.6,4.5
5000762050,county subdivision,St. George , Chittenden County,13,5.2,7.8,26.1,15.7,10.4
5001774950,county subdivision,Vershire , Orange County,13,6.9,6.1,11,5.1,5.9
5002111950,county subdivision,Castleton , Rutland County,12.8,6.1,6.7,7.9,,7.9
5000159650,county subdivision,Ripton , Addison County,12.7,1.7,11,8.9,,8.9
5002154250,county subdivision,Pawlet , Rutland County,12.7,4.7,8,15.2,6.1,9.1
5002172925,county subdivision,Tinmouth , Rutland County,12.7,7.5,5.2,23.2,17.4,5.8
5002584850,county subdivision,Windham , Windham County,12.7,4.5,8.2,17.5,,17.5
5002147425,county subdivision,Mount Tabor , Rutland County,12.5,7.9,4.6,8.5,6.8,1.7
5000733475,county subdivision,Hinesburg , Chittenden County,12.3,1.2,11.1,20.8,,20.8
5001946450,county subdivision,Morgan , Orleans County,12.3,5.7,6.6,,,
5002576225,county subdivision,Wardsboro , Windham County,12.3,2,10.3,25.9,,25.9
5002760100,county subdivision,Rochester , Windsor County,12.3,2.4,10,24.1,2.9,21.2
5000170075,county subdivision,Starksboro , Addison County,12.2,6.9,5.3,19.5,14.2,5.3
5001124050,county subdivision,Enosburgh , Franklin County,12.1,5.1,7,10.6,8.3,2.3
5001725675,county subdivision,Fairlee , Orange County,12.1,6.5,5.6,24,20.7,3.4
5002156875,county subdivision,Poultney , Rutland County,12,4.4,7.6,15,,15
5002355825,county subdivision,Plainfield , Washington County,12,7.1,4.9,4.4,,4.4
5002581400,county subdivision,Westminster , Windham County,12,6.2,5.8,23.3,10.9,12.4
5002705800,county subdivision,Bethel , Windsor County,12,7.6,4.4,14.7,12.8,1.9
5002784925,county subdivision,Windsor , Windsor County,11.9,5.2,6.7,25.3,11.4,13.8
5000714875,county subdivision,Colchester , Chittenden County,11.8,5.5,6.3,18.7,6.7,12.1
5001709325,county subdivision,Brookfield , Orange County,11.8,3.6,8.2,28.5,9.3,19.3
5001504375,county subdivision,Belvidere , Lamoille County,11.7,7.7,4,19.5,19.5,
5000385675,county subdivision,Woodford , Bennington County,11.6,5.3,6.3,9.5,,9.5
5001707375,county subdivision,Bradford , Orange County,11.6,6.5,5.1,9.6,8.7,0.9
5001776750,county subdivision,Washington , Orange County,11.6,4.8,6.7,3,3,
5002756050,county subdivision,Plymouth , Windsor County,11.6,4.9,6.8,13.6,10.2,3.4
5000908725,county subdivision,Brighton , Essex County,11.4,4.6,6.9,9.2,,9.2
5001980200,county subdivision,Westfield , Orleans County,11.2,6.1,5.1,9.9,9.9,
5002702575,county subdivision,Baltimore , Windsor County,11.2,9.7,1.5,17.8,17.8,
5000358600,county subdivision,Readsboro , Bennington County,11.1,9.1,1.9,14.8,14.8,
5000915250,county subdivision,Concord , Essex County,11.1,1.4,9.8,8.3,,8.3
5001940525,county subdivision,Lowell , Orleans County,11.1,3.7,7.4,3.4,,3.4
5000929125,county subdivision,Granby , Essex County,10.9,6.4,4.5,,,
5002376975,county subdivision,Waterbury , Washington County,10.9,6.8,4.1,20.1,20.1,
5000131525,county subdivision,Hancock , Addison County,10.8,5,5.9,17,11.3,5.7
5000939700,county subdivision,Lemington , Essex County,10.8,,10.8,,,
